text,Sentiment,Score
"b""I Don't Luv U No Mo' - KING LB ~ The Ugly Truth https://t.co/MuzWDKzXm4 #hnhh #love #work #light #lhhh\\u2026 https://t.co/frDfN3zH2T""",positive,0.026662178337574005
b'RT @shahnazfarzaneh: I will assure #canada #cdnpoli .@globeandmail .@OttawaCitizen .@BobSaroya .@KentThornhillMP .@LevittMichael .@Michelle\\u2026',positive,0.015625
b'RT @Trans_Oceana: BOOK YOUR FLIGHT TICKET FROM ANY PART OF THE WORLD TO #UK #USA\\n#GERMANY #CANADA #CHINA #AUSTRALIA\\n#ITALY #BELGIUM #GHANA\\u2026',positive,0.0087890625
b'RT @alo_oficial: Este fin de semana celebro mis 300 GPs en Formula 1. Vamos a por todas!!\\n\\nThis weekend I will celebrate my 300th GP in For\\u2026',negative,-0.018103966346153848
b'RT @Megamodified: #tacotuesday !!\\nGo check out @lifes2short2staystock for more awesomeness!\\nTag us for a feature \\n#megamodified #toyota #to\\u2026',positive,0.022727272727272728
b'#CleanAirDay Media Release \\nLaunch of #IDLEFREE #eLearning Applauded to Address #IDLING #Epidemic Costing #Fuel\\u2026 https://t.co/DjcO5pRmtl',positive,0.005239633413461538
"b""I Don't Luv U No Mo' - KING LB ~ The Ugly Truth https://t.co/kDqJAR00PZ #hnhh #love #work #light #lhhh\\u2026 https://t.co/z5nNX7xmI1""",positive,0.026662178337574005
b'RT @alo_oficial: Este fin de semana celebro mis 300 GPs en Formula 1. Vamos a por todas!!\\n\\nThis weekend I will celebrate my 300th GP in For\\u2026',negative,-0.018103966346153848
"b'RT @Radioirava: On June 5, 2013 #Canada recognized #1988Massacre of political prisoners in #Iran as #CrimeAgainstHumanity &amp; Sept. 1 as a da\\u2026'",positive,0.016398111979166668
"b'#Canada 5-Days Delivery! 12% off, 5 Stars: Xiaomi Redmi Note 5.5 Inch Android 4.4  4g Phablet #international\\u2026 https://t.co/5H2yGNAQAx'",negative,-0.0233154296875
"b'Dr. @LesleyEsford, President &amp; CEO @LifeSciences_BC together with Ali Ardakani, Vice Chair, Board of Directors\\u2026 https://t.co/91mbSFUHiy'",positive,0.011160714285714286
b'Happening This Week #lobsterfestival #knittingevents #communtyevents #yummylobsterfood @VisitShelburne\\u2026 https://t.co/bQrnYP1p9o',negative,-0.0068359375
b'RT @WhitePointBeach: We\\u2019re proud of you M0! Our Piping Plover chick of \\u201817 is nearly a year old and after wintering in Georgia he was just\\u2026',positive,0.01953125
b'We\\u2019re proud of you M0! Our Piping Plover chick of \\u201817 is nearly a year old and after wintering in Georgia he was ju\\u2026 https://t.co/mFSn5qD9PL',positive,0.01953125
"b'RT @VisitNovaScotia: A hike with a spectacular view of the Bay of Fundy, this is Cape Split. || Featured Photo by @aleyahs via Instagram. #\\u2026'",positive,0.0015024038461538462
"b'Top-5 Things to do in Pictou, Nova Scotia \\u2013 The Birthplace of New Scotland. Have you ever been to @VisitNovaScotia?\\u2026 https://t.co/AfYYocjU5J'",negative,-0.020424582741477272
b'@VisitNovaScotia So you should be.',netural,0.0
b'@VisitNovaScotia @aleyahs Beautiful scenery',positive,0.1328125
"b'RT @VisitNovaScotia: A hike with a spectacular view of the Bay of Fundy, this is Cape Split. || Featured Photo by @aleyahs via Instagram. #\\u2026'",positive,0.0015024038461538462
b'Enjoying a #kayak adventure &amp; a picnic in #NovaScotia on #TravelTuesday https://t.co/K5nZRNRNwE  @VisitNovaScotia\\u2026 https://t.co/F1bbEy0F4m',positive,0.06484375
"b'RT @VisitNovaScotia: A hike with a spectacular view of the Bay of Fundy, this is Cape Split. || Featured Photo by @aleyahs via Instagram. #\\u2026'",positive,0.0015024038461538462
"b'@VisitNovaScotia @aleyahs I live in Texas but that is my home! Love Cape Split, we hike it every summer when we are home to Canning. \\u2764\\ufe0f\\u2764\\ufe0f\\u2764\\ufe0f'",positive,0.02880859375
b'@VisitNovaScotia @aleyahs We are coming up to see this in August.',positive,0.07513571158051491
b'@VisitNovaScotia @aleyahs Yes that would be awesome. Put it on the calendar',positive,0.08341471354166667
"b'RT @VisitNovaScotia: A hike with a spectacular view of the Bay of Fundy, this is Cape Split. || Featured Photo by @aleyahs via Instagram. #\\u2026'",positive,0.0015024038461538462
"b""When you visit @JogginsFossils, always book a tour. You have no idea how much you'll miss (everything!), if you don\\u2026 https://t.co/jqNN9DeHdf""",negative,-0.046826171875
